SL.,NCR REPORT NO.,DATE OF NCR ,DATE  OF DETECTION,ITEM DESCRIPTION,NCR Description,Part Number,"Modified or Unmodified
FMI",Failure After FMI,Faulty Sl. No.,Healthy Sl. No.,ISSUED BY,Qty.,SUB-SYSTEM, Train No,CAR,RESPONSIBILITY (VENDOR/BEML),STATUS,ITEM REPAIRED/ RECOUPED,ITEM REPLACED (IF ANY),DATE OF REPAIRED/REPLACED,SOURCE,DATE OF INVESTIGATION REPORT RECEIVED,"NCR CLOSED BY DOC.,",GATE PASS           S/No,Remarks,IR Printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,NCR-BEML RS3R-T&C-CPD-020A,02/Dec/19,05/Sep/18,"DIS 3 Card (CN11, RIO1)","During TCMS software uploading, DIS 3 card (RIO1, CN11) Pin has been found in bent Condition.",,,,DL47962PO,___,Partha,1,,02,DM-2,BEML Factory,CLOSED,,,,,,,,"Material given in DLP by BEML to MELCO, CPD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,NCR-BEML RS3R-T&C-CPD-021A,11/Apr/19,23/Sep/18,DOS5 Card,Smell was sensed near the cubical when train was aux on.,,,,"DL48372PO, DL48371PO",___,Suraj Pd Barnwal,2,TCMS,01,T-2,M/s MELCO,CANCELED,,,,,,,NA,"NCR 21A changed to NCR 21B. Material given in DLP by BEML to MELCO, CPD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,NCR-BEML RS3R-T&C-CPD-021B,02/Dec/19,23/Sep/18,DOS5 Card,Smell was sensed near the cubical when train was aux on.,,,,"DL48372PO, DL48371PO",___,Partha,2,,01,T-2,BEML Factory,CLOSED,,,,,,,,"Material given in DLP by BEML to MELCO, CPD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,NCR-BEML RS3R-T&C-CPD-022B,30/Nov/18,28/Nov/18,"i)RY12 Card,ii) SCP card, iii) TRCC set","TS#03 was taken to test track for test run after uploading new S/W by M/S Melco on 28.11.18. During running, EB was applied. Consequently, TRCC got hit with 3rd rail at TRCC entry point and its lever got sheared off. During further testing of traction, it was noticed that holding brake was not releasing. M/S Melco checked and confirmed that 4 nos RY12 cards had burnt in VVVF control box due to current spike during TRCC hit. Afterreplacing the RY12 cards from TS#04, software was tried ti reload again but 1 no SCP card has got corrupted and the system could bew re-installed only after replacing the SCP card from TS#04.",,,,"1. DK75773PB, DK75760PB, DK75772PB, DK75763PB
2. DK86725PO
3. N/A",___,Partha,"4
1
1",Propulsion,03,,M/s BEML/Insurance,OPEN,,,,,To be checked,,Insurance,"Material given in DLP by BEML to MELCO, CPD. Only TRCC set is pending.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,NCR-BEML RS3R-T&C-CPD-023,16/Nov/18,05/Nov/18,LAD03 Card,VVVF was not receiving signal from BECU1 & BECU2.,,,,ZO7320982 & ZO7260902,___,,2,Brake,02,M-2,M/s KBI,CLOSED,REPLACED,LAD03 Card,06.05.2019,REPLACEMENT BY VENDOR,06.05.2019,,NA,KBI request mail reveived on 05.12.2019 for NCR Closer. No fault was found. Status of the LAD03 Card#Z07320982 to be confirmed by KBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,NCR-BEML RS3R-T&C-CPD-024,06/Dec/18,22/Nov/18,Brake Calliper Unit,"On receipt of TS#05 M2 car, axle 1 LH brake caliper found in jammed condition. No movement between brake caliper mounting bracket and brake caliper unit is observed when there is no brake applied.",,,,___,___,,1,Brake,05,M-2,M/s KBI,CLOSED,REPLACED,Brake Calliper Unit,NA,REPLACEMENT BY VENDOR,Received,,NA,Brake adjuster was operated in reverse direction causing jamming of brake. Adjuster adjusted and NCR withdrawn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,NCR-BEML RS3R-T&C-CPD-025,07/Jan/19,01/Jan/19,BCU Connector,"Pin no.1 of U-pressure transducer connector is connected with B1 pin of BCU male connector which is wrong & pin no. 2 U-pressure transducer connector is connected with B7 pin of BCU male connector which is wrong. 
As per VCC drawing:
Pin no. 1 of U- pressure transducer connector should be connected to B7 pin of BCU male connector.
Pin no.3 of U-pressure transducer connector should be connected to B1 pin of BCU male connector.",,,,___,___,,10,Brake,04,"DM-1,DM-2,M-1,M-2",M/s KBI,CLOSED,,,,,Received,,NA,Pin corrected. KBI request mail reveived on 05.12.2019 for NCR Closer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,NCR-BEML RS3R-T&C-CPD-026A,07/Jan/19,07/Jan/19,"BCU Connector,LAD01B Card",Brake not getting released during powering.,,,,"Part No:
1. STN41739
2. STN39577/ 201
Assy. No:
1. KBI-17/18-0038
2. ZO8052430",___,,2,Brake,04,"DM-1,M-2",M/s KBI,CLOSED,REPLACED,BCU connector pin,,REPLACEMENT BY VENDOR,07.11.2019,,NA,"Based on available records, may be considered as stray case and closed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,NCR-BEML RS3R-T&C-CPD-027,18/Jan/19,16/Jan/19,LAD05A Card Female Connector,"TS#05 M2 BECU 1 Bogie 1:
1. WSPV ref signal is not ok when checked on XST.
2. Dump valve is not operating through XST.",,,,Part No: 43829/16,___,,1,Brake,05,M-2,M/s KBI,CLOSED,REPLACED,LAD05A Card Female Connector Pin,10.05.2019,,10.05.2019,,NA,"Based on available records, may be considered as stray case and closed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,NCR-BEML RS3R-T&C-CPD-028A,04/Mar/19,01/Mar/19,TCMS VDU,VDU not booting up,,,,"i. DM06161
ii. DM06183",___,Balaram,2,TCMS,"02,06","DM-2, DM-1",M/s MELCO,CLOSED,,,,,,,44,mail sent on dated 22.05.21  for FIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
